sound1,round1,high1,low1,front1,back1,tense1,sound2,P2i1,orP2i1,diffP2i1,round2,high2,low2,front2,back2,tense2,full1,full2
y,+,+,-,+,-,+,ɒ,0,0.08,-0.08,+,-,+,-,+,-,RHlFbT,RhLfBt
y,+,+,-,+,-,+,ɐ,0.09090909090909093,0.08,0.01090909090909091,+,-,+,-,-,-,RHlFbT,RhLfbt
y,+,+,-,+,-,+,ʌ,0,0,0,-,-,-,-,+,-,RHlFbT,rhlfBt
æ,-,-,+,+,-,-,a,0.4418604651162791,0.7619047619047619,-0.3200442967884828,-,-,+,-,-,-,rhLFbt,rhLfbt
æ,-,-,+,+,-,-,e,0.4418604651162791,0.8809523809523809,-0.43909191583610185,-,-,-,+,-,+,rhLFbt,rhlFbT
æ,-,-,+,+,-,-,i,0.627906976744186,0.9761904761904762,-0.3482834994462901,-,+,-,+,-,+,rhLFbt,rHlFbT
æ,-,-,+,+,-,-,o,0.6744186046511628,0.9047619047619048,-0.230343300110742,+,-,-,-,+,+,rhLFbt,RhlfBT
æ,-,-,+,+,-,-,u,0.627906976744186,0.9285714285714286,-0.30066445182724255,+,+,-,-,+,+,rhLFbt,RHlfBT
æ,-,-,+,+,-,-,ə,0.2558139534883721,0.4523809523809524,-0.19656699889258028,-,-,-,-,-,-,rhLFbt,rhlfbt
æ,-,-,+,+,-,-,y,0.06976744186046512,0.11904761904761904,-0.04928017718715392,+,+,-,+,-,+,rhLFbt,RHlFbT
æ,-,-,+,+,-,-,ɑ,0.27906976744186046,0.23809523809523808,0.04097452934662238,-,-,+,-,+,-,rhLFbt,rhLfBt
æ,-,-,+,+,-,-,ɤ,0,0.0238095238095238,-0.0238095238095238,-,-,-,-,+,+,rhLFbt,rhlfBT
æ,-,-,+,+,-,-,ɛ,0.06976744186046512,0.42857142857142855,-0.3588039867109634,-,-,-,+,-,-,rhLFbt,rhlFbt
æ,-,-,+,+,-,-,ɪ,0.3488372093023256,0.3333333333333333,0.01550387596899227,-,+,-,+,-,-,rhLFbt,rHlFbt
æ,-,-,+,+,-,-,ʊ,0.3953488372093023,0.2619047619047619,0.1334440753045404,+,+,-,-,+,-,rhLFbt,RHlfBt
æ,-,-,+,+,-,-,ɔ,0.20930232558139536,0.47619047619047616,-0.2668881506090808,+,-,-,-,+,-,rhLFbt,RhlfBt
æ,-,-,+,+,-,-,ɯ,0.02325581395348837,0.04761904761904761,-0.02436323366555924,-,+,-,-,+,+,rhLFbt,rHlfBT
æ,-,-,+,+,-,-,ɨ,0.09302325581395347,0.16666666666666666,-0.07364341085271317,-,+,-,-,-,+,rhLFbt,rHlfbT
æ,-,-,+,+,-,-,ø,0,0.04761904761904761,-0.04761904761904761,+,-,-,+,-,+,rhLFbt,RhlFbT
æ,-,-,+,+,-,-,œ,0.02325581395348837,0.04761904761904761,-0.02436323366555924,+,-,-,+,-,-,rhLFbt,RhlFbt
æ,-,-,+,+,-,-,ɒ,0.04651162790697674,0.07142857142857142,-0.02491694352159468,+,-,+,-,+,-,rhLFbt,RhLfBt
æ,-,-,+,+,-,-,ɐ,0,0.04761904761904761,-0.04761904761904761,+,-,+,-,-,-,rhLFbt,RhLfbt
æ,-,-,+,+,-,-,ʌ,0.02325581395348837,0.09523809523809525,-0.07198228128460686,-,-,-,-,+,-,rhLFbt,rhlfBt
ø,+,-,-,+,-,+,a,0.8,0.9333333333333332,-0.1333333333333333,-,-,+,-,-,-,RhlFbT,rhLfbt
ø,+,-,-,+,-,+,e,0.8,0.9333333333333332,-0.1333333333333333,-,-,-,+,-,+,RhlFbT,rhlFbT
ø,+,-,-,+,-,+,i,0.8,1,-0.19999999999999996,-,+,-,+,-,+,RhlFbT,rHlFbT
ø,+,-,-,+,-,+,o,0.8,1,-0.19999999999999996,+,-,-,-,+,+,RhlFbT,RhlfBT
ø,+,-,-,+,-,+,u,0.8,0.9333333333333332,-0.1333333333333333,+,+,-,-,+,+,RhlFbT,RHlfBT
ø,+,-,-,+,-,+,ə,0,0.3333333333333333,-0.3333333333333333,-,-,-,-,-,-,RhlFbT,rhlfbt
ø,+,-,-,+,-,+,y,0.8,0.7333333333333333,0.06666666666666676,+,+,-,+,-,+,RhlFbT,RHlFbT
ø,+,-,-,+,-,+,ɑ,0,0.26666666666666666,-0.26666666666666666,-,-,+,-,+,-,RhlFbT,rhLfBt
ø,+,-,-,+,-,+,ɤ,0,0,0,-,-,-,-,+,+,RhlFbT,rhlfBT
ø,+,-,-,+,-,+,æ,0,0.13333333333333333,-0.13333333333333333,-,-,+,+,-,-,RhlFbT,rhLFbt
ø,+,-,-,+,-,+,ɛ,0.6,0.7333333333333333,-0.1333333333333333,-,-,-,+,-,-,RhlFbT,rhlFbt
ø,+,-,-,+,-,+,ɪ,0.2,0.2,0,-,+,-,+,-,-,RhlFbT,rHlFbt
ø,+,-,-,+,-,+,ʊ,0.2,0.13333333333333333,0.06666666666666668,+,+,-,-,+,-,RhlFbT,RHlfBt
ø,+,-,-,+,-,+,ɔ,0,0.6,-0.6,+,-,-,-,+,-,RhlFbT,RhlfBt
ø,+,-,-,+,-,+,ɯ,0,0.06666666666666667,-0.06666666666666667,-,+,-,-,+,+,RhlFbT,rHlfBT
ø,+,-,-,+,-,+,ɨ,0,0.06666666666666667,-0.06666666666666667,-,+,-,-,-,+,RhlFbT,rHlfbT
ø,+,-,-,+,-,+,œ,0,0.26666666666666666,-0.26666666666666666,+,-,-,+,-,-,RhlFbT,RhlFbt
ø,+,-,-,+,-,+,ɒ,0.2,0.13333333333333333,0.06666666666666668,+,-,+,-,+,-,RhlFbT,RhLfBt
ø,+,-,-,+,-,+,ɐ,0,0.06666666666666667,-0.06666666666666667,+,-,+,-,-,-,RhlFbT,RhLfbt
ø,+,-,-,+,-,+,ʌ,0,0,0,-,-,-,-,+,-,RhlFbT,rhlfBt
ɤ,-,-,-,-,+,+,a,0.6666666666666666,0.8421052631578947,-0.17543859649122806,-,-,+,-,-,-,rhlfBT,rhLfbt
ɤ,-,-,-,-,+,+,e,0.2222222222222222,0.6842105263157895,-0.4619883040935673,-,-,-,+,-,+,rhlfBT,rhlFbT
ɤ,-,-,-,-,+,+,i,0.8888888888888888,1,-0.11111111111111116,-,+,-,+,-,+,rhlfBT,rHlFbT
ɤ,-,-,-,-,+,+,o,0.2222222222222222,0.5789473684210527,-0.35672514619883045,+,-,-,-,+,+,rhlfBT,RhlfBT
ɤ,-,-,-,-,+,+,u,0.7777777777777778,0.9473684210526316,-0.16959064327485374,+,+,-,-,+,+,rhlfBT,RHlfBT
ɤ,-,-,-,-,+,+,ə,0,0.05263157894736842,-0.05263157894736842,-,-,-,-,-,-,rhlfBT,rhlfbt
ɤ,-,-,-,-,+,+,y,0,0.05263157894736842,-0.05263157894736842,+,+,-,+,-,+,rhlfBT,RHlFbT
ɤ,-,-,-,-,+,+,ɑ,0.1111111111111111,0.10526315789473684,0.00584795321637426,-,-,+,-,+,-,rhlfBT,rhLfBt
ɤ,-,-,-,-,+,+,æ,0,0.05263157894736842,-0.05263157894736842,-,-,+,+,-,-,rhlfBT,rhLFbt
ɤ,-,-,-,-,+,+,ɛ,0.3333333333333333,0.631578947368421,-0.2982456140350877,-,-,-,+,-,-,rhlfBT,rhlFbt
ɤ,-,-,-,-,+,+,ɪ,0,0.05263157894736842,-0.05263157894736842,-,+,-,+,-,-,rhlfBT,rHlFbt
ɤ,-,-,-,-,+,+,ʊ,0,0.05263157894736842,-0.05263157894736842,+,+,-,-,+,-,rhlfBT,RHlfBt
ɤ,-,-,-,-,+,+,ɔ,0.3333333333333333,0.631578947368421,-0.2982456140350877,+,-,-,-,+,-,rhlfBT,RhlfBt
ɤ,-,-,-,-,+,+,ɯ,0.3333333333333333,0.6842105263157895,-0.3508771929824562,-,+,-,-,+,+,rhlfBT,rHlfBT
ɤ,-,-,-,-,+,+,ɨ,0,0,0,-,+,-,-,-,+,rhlfBT,rHlfbT
ɤ,-,-,-,-,+,+,ø,0,0,0,+,-,-,+,-,+,rhlfBT,RhlFbT
ɤ,-,-,-,-,+,+,œ,0,0,0,+,-,-,+,-,-,rhlfBT,RhlFbt
ɤ,-,-,-,-,+,+,ɒ,0,0,0,+,-,+,-,+,-,rhlfBT,RhLfBt
ɤ,-,-,-,-,+,+,ɐ,0.1111111111111111,0.05263157894736842,0.05847953216374269,+,-,+,-,-,-,rhlfBT,RhLfbt
ɤ,-,-,-,-,+,+,ʌ,0.1111111111111111,0.21052631578947367,-0.09941520467836255,-,-,-,-,+,-,rhlfBT,rhlfBt
ɯ,-,+,-,-,+,+,a,0.8620689655172413,0.8918918918918919,-0.02982292637465056,-,-,+,-,-,-,rHlfBT,rhLfbt
ɯ,-,+,-,-,+,+,e,0.41379310344827586,0.7297297297297297,-0.31593662628145386,-,-,-,+,-,+,rHlfBT,rhlFbT
ɯ,-,+,-,-,+,+,i,0.7931034482758621,0.945945945945946,-0.15284249767008384,-,+,-,+,-,+,rHlfBT,rHlFbT
ɯ,-,+,-,-,+,+,o,0.5172413793103449,0.8648648648648649,-0.34762348555452005,+,-,-,-,+,+,rHlfBT,RhlfBT
ɯ,-,+,-,-,+,+,u,0.7586206896551724,0.8378378378378378,-0.07921714818266545,+,+,-,-,+,+,rHlfBT,RHlfBT
ɯ,-,+,-,-,+,+,ə,0.1724137931034483,0.2702702702702703,-0.097856477166822,-,-,-,-,-,-,rHlfBT,rhlfbt
ɯ,-,+,-,-,+,+,y,0.03448275862068965,0.08108108108108109,-0.04659832246039143,+,+,-,+,-,+,rHlfBT,RHlFbT
ɯ,-,+,-,-,+,+,ɑ,0.03448275862068965,0.10810810810810811,-0.07362534948741846,-,-,+,-,+,-,rHlfBT,rhLfBt
ɯ,-,+,-,-,+,+,ɤ,0.10344827586206896,0.35135135135135137,-0.2479030754892824,-,-,-,-,+,+,rHlfBT,rhlfBT
ɯ,-,+,-,-,+,+,æ,0.03448275862068965,0.05405405405405406,-0.0195712954333644,-,-,+,+,-,-,rHlfBT,rhLFbt
ɯ,-,+,-,-,+,+,ɛ,0.41379310344827586,0.5945945945945946,-0.18080149114631877,-,-,-,+,-,-,rHlfBT,rhlFbt
ɯ,-,+,-,-,+,+,ɪ,0.10344827586206896,0.08108108108108109,0.02236719478098788,-,+,-,+,-,-,rHlfBT,rHlFbt
ɯ,-,+,-,-,+,+,ʊ,0,0.02702702702702703,-0.02702702702702703,+,+,-,-,+,-,rHlfBT,RHlfBt
ɯ,-,+,-,-,+,+,ɔ,0.4827586206896552,0.5135135135135135,-0.03075489282385829,+,-,-,-,+,-,rHlfBT,RhlfBt
ɯ,-,+,-,-,+,+,ɨ,0.03448275862068965,0.10810810810810811,-0.07362534948741846,-,+,-,-,-,+,rHlfBT,rHlfbT
ɯ,-,+,-,-,+,+,ø,0,0.02702702702702703,-0.02702702702702703,+,-,-,+,-,+,rHlfBT,RhlFbT
